"CVE_ENT","Fecha","casos","cacum"
"01",2020-03-10,1,1
"01",2020-03-11,0,1
"01",2020-03-12,2,3
"01",2020-03-13,0,3
"01",2020-03-14,1,4
"01",2020-03-15,1,5
"01",2020-03-16,2,7
"01",2020-03-17,2,9
"01",2020-03-18,4,13
"01",2020-03-19,2,15
"01",2020-03-20,2,17
"01",2020-03-21,0,17
"01",2020-03-22,5,22
"01",2020-03-23,9,31
"01",2020-03-24,3,34
"01",2020-03-25,5,39
"01",2020-03-26,3,42
"01",2020-03-27,4,46
"01",2020-03-28,2,48
"01",2020-03-29,0,48
"01",2020-03-30,1,49
"01",2020-03-31,0,49
"01",2020-04-01,0,49
"02",2020-03-09,1,1
"02",2020-03-10,0,1
"02",2020-03-11,2,3
"02",2020-03-12,1,4
"02",2020-03-13,4,8
"02",2020-03-14,0,8
"02",2020-03-15,2,10
"02",2020-03-16,1,11
"02",2020-03-17,3,14
"02",2020-03-18,7,21
"02",2020-03-19,7,28
"02",2020-03-20,5,33
"02",2020-03-21,2,35
"02",2020-03-22,1,36
"02",2020-03-23,4,40
"02",2020-03-24,3,43
"02",2020-03-25,2,45
"02",2020-03-26,5,50
"02",2020-03-27,0,50
"02",2020-03-28,3,53
"02",2020-03-29,0,53
"02",2020-03-30,1,54
"02",2020-03-31,0,54
"02",2020-04-01,0,54
"03",2020-03-16,3,3
"03",2020-03-17,0,3
"03",2020-03-18,1,4
"03",2020-03-19,0,4
"03",2020-03-20,1,5
"03",2020-03-21,4,9
"03",2020-03-22,5,14
"03",2020-03-23,4,18
"03",2020-03-24,1,19
"03",2020-03-25,2,21
"03",2020-03-26,1,22
"03",2020-03-27,1,23
"03",2020-03-28,1,24
"03",2020-03-29,0,24
"03",2020-03-30,1,25
"03",2020-03-31,1,26
"03",2020-04-01,0,26
"04",2020-02-23,1,1
"04",2020-02-24,0,1
"04",2020-02-25,0,1
"04",2020-02-26,0,1
"04",2020-02-27,0,1
"04",2020-02-28,0,1
"04",2020-02-29,0,1
"04",2020-03-01,0,1
"04",2020-03-02,0,1
"04",2020-03-03,0,1
"04",2020-03-04,0,1
"04",2020-03-05,0,1
"04",2020-03-06,1,2
"04",2020-03-07,0,2
"04",2020-03-08,0,2
"04",2020-03-09,0,2
"04",2020-03-10,0,2
"04",2020-03-11,0,2
"04",2020-03-12,1,3
"04",2020-03-13,0,3
"04",2020-03-14,0,3
"04",2020-03-15,0,3
"04",2020-03-16,0,3
"04",2020-03-17,0,3
"04",2020-03-18,1,4
"04",2020-03-19,0,4
"04",2020-03-20,1,5
"04",2020-03-21,0,5
"04",2020-03-22,1,6
"04",2020-03-23,0,6
"04",2020-03-24,0,6
"04",2020-03-25,0,6
"04",2020-03-26,0,6
"04",2020-03-27,2,8
"04",2020-03-28,0,8
"04",2020-03-29,0,8
"04",2020-03-30,0,8
"04",2020-03-31,0,8
"04",2020-04-01,0,8
"05",2020-02-27,1,1
"05",2020-02-28,0,1
"05",2020-02-29,0,1
"05",2020-03-01,0,1
"05",2020-03-02,0,1
"05",2020-03-03,0,1
"05",2020-03-04,0,1
"05",2020-03-05,0,1
"05",2020-03-06,0,1
"05",2020-03-07,0,1
"05",2020-03-08,0,1
"05",2020-03-09,0,1
"05",2020-03-10,0,1
"05",2020-03-11,0,1
"05",2020-03-12,0,1
"05",2020-03-13,1,2
"05",2020-03-14,0,2
"05",2020-03-15,0,2
"05",2020-03-16,2,4
"05",2020-03-17,3,7
"05",2020-03-18,4,11
"05",2020-03-19,3,14
"05",2020-03-20,6,20
"05",2020-03-21,7,27
"05",2020-03-22,4,31
"05",2020-03-23,5,36
"05",2020-03-24,7,43
"05",2020-03-25,4,47
"05",2020-03-26,5,52
"05",2020-03-27,6,58
"05",2020-03-28,5,63
"05",2020-03-29,6,69
"05",2020-03-30,2,71
"05",2020-03-31,1,72
"05",2020-04-01,0,72
"06",2020-03-12,1,1
"06",2020-03-13,0,1
"06",2020-03-14,0,1
"06",2020-03-15,1,2
"06",2020-03-16,0,2
"06",2020-03-17,0,2
"06",2020-03-18,0,2
"06",2020-03-19,0,2
"06",2020-03-20,0,2
"06",2020-03-21,0,2
"06",2020-03-22,0,2
"06",2020-03-23,0,2
"06",2020-03-24,0,2
"06",2020-03-25,1,3
"06",2020-03-26,0,3
"06",2020-03-27,0,3
"06",2020-03-28,1,4
"06",2020-03-29,0,4
"06",2020-03-30,0,4
"06",2020-03-31,0,4
"06",2020-04-01,0,4
"07",2020-02-25,1,1
"07",2020-02-26,0,1
"07",2020-02-27,0,1
"07",2020-02-28,0,1
"07",2020-02-29,0,1
"07",2020-03-01,0,1
"07",2020-03-02,0,1
"07",2020-03-03,0,1
"07",2020-03-04,0,1
"07",2020-03-05,0,1
"07",2020-03-06,0,1
"07",2020-03-07,0,1
"07",2020-03-08,1,2
"07",2020-03-09,0,2
"07",2020-03-10,0,2
"07",2020-03-11,0,2
"07",2020-03-12,0,2
"07",2020-03-13,1,3
"07",2020-03-14,1,4
"07",2020-03-15,0,4
"07",2020-03-16,0,4
"07",2020-03-17,0,4
"07",2020-03-18,0,4
"07",2020-03-19,0,4
"07",2020-03-20,1,5
"07",2020-03-21,2,7
"07",2020-03-22,3,10
"07",2020-03-23,3,13
"07",2020-03-24,1,14
"07",2020-03-25,2,16
"07",2020-03-26,0,16
"07",2020-03-27,1,17
"07",2020-03-28,1,18
"07",2020-03-29,0,18
"07",2020-03-30,0,18
"07",2020-03-31,1,19
"07",2020-04-01,0,19
"08",2020-03-12,1,1
"08",2020-03-13,1,2
"08",2020-03-14,0,2
"08",2020-03-15,1,3
"08",2020-03-16,1,4
"08",2020-03-17,0,4
"08",2020-03-18,1,5
"08",2020-03-19,1,6
"08",2020-03-20,1,7
"08",2020-03-21,1,8
"08",2020-03-22,0,8
"08",2020-03-23,1,9
"08",2020-03-24,2,11
"08",2020-03-25,0,11
"08",2020-03-26,1,12
"08",2020-03-27,0,12
"08",2020-03-28,0,12
"08",2020-03-29,1,13
"08",2020-03-30,0,13
"08",2020-03-31,0,13
"08",2020-04-01,0,13
"09",2020-02-17,2,2
"09",2020-02-18,0,2
"09",2020-02-19,0,2
"09",2020-02-20,0,2
"09",2020-02-21,0,2
"09",2020-02-22,1,3
"09",2020-02-23,1,4
"09",2020-02-24,0,4
"09",2020-02-25,1,5
"09",2020-02-26,1,6
"09",2020-02-27,0,6
"09",2020-02-28,0,6
"09",2020-02-29,2,8
"09",2020-03-01,2,10
"09",2020-03-02,2,12
"09",2020-03-03,2,14
"09",2020-03-04,3,17
"09",2020-03-05,0,17
"09",2020-03-06,4,21
"09",2020-03-07,8,29
"09",2020-03-08,6,35
"09",2020-03-09,21,56
"09",2020-03-10,22,78
"09",2020-03-11,18,96
"09",2020-03-12,17,113
"09",2020-03-13,31,144
"09",2020-03-14,31,175
"09",2020-03-15,27,202
"09",2020-03-16,26,228
"09",2020-03-17,21,249
"09",2020-03-18,18,267
"09",2020-03-19,24,291
"09",2020-03-20,26,317
"09",2020-03-21,14,331
"09",2020-03-22,12,343
"09",2020-03-23,21,364
"09",2020-03-24,17,381
"09",2020-03-25,16,397
"09",2020-03-26,25,422
"09",2020-03-27,15,437
"09",2020-03-28,14,451
"09",2020-03-29,5,456
"09",2020-03-30,8,464
"09",2020-03-31,4,468
"09",2020-04-01,1,469
"10",2020-03-06,1,1
"10",2020-03-07,0,1
"10",2020-03-08,0,1
"10",2020-03-09,1,2
"10",2020-03-10,0,2
"10",2020-03-11,1,3
"10",2020-03-12,0,3
"10",2020-03-13,0,3
"10",2020-03-14,0,3
"10",2020-03-15,1,4
"10",2020-03-16,0,4
"10",2020-03-17,0,4
"10",2020-03-18,2,6
"10",2020-03-19,1,7
"10",2020-03-20,0,7
"10",2020-03-21,0,7
"10",2020-03-22,0,7
"10",2020-03-23,1,8
"10",2020-03-24,0,8
"10",2020-03-25,0,8
"10",2020-03-26,0,8
"10",2020-03-27,0,8
"10",2020-03-28,1,9
"10",2020-03-29,1,10
"10",2020-03-30,0,10
"10",2020-03-31,0,10
"10",2020-04-01,0,10
"11",2020-03-10,1,1
"11",2020-03-11,0,1
"11",2020-03-12,2,3
"11",2020-03-13,0,3
"11",2020-03-14,3,6
"11",2020-03-15,3,9
"11",2020-03-16,10,19
"11",2020-03-17,3,22
"11",2020-03-18,2,24
"11",2020-03-19,1,25
"11",2020-03-20,7,32
"11",2020-03-21,4,36
"11",2020-03-22,5,41
"11",2020-03-23,0,41
"11",2020-03-24,2,43
"11",2020-03-25,3,46
"11",2020-03-26,5,51
"11",2020-03-27,2,53
"11",2020-03-28,0,53
"11",2020-03-29,0,53
"11",2020-03-30,0,53
"11",2020-03-31,0,53
"11",2020-04-01,0,53
"12",2020-03-08,1,1
"12",2020-03-09,1,2
"12",2020-03-10,0,2
"12",2020-03-11,0,2
"12",2020-03-12,1,3
"12",2020-03-13,1,4
"12",2020-03-14,0,4
"12",2020-03-15,2,6
"12",2020-03-16,1,7
"12",2020-03-17,1,8
"12",2020-03-18,2,10
"12",2020-03-19,1,11
"12",2020-03-20,3,14
"12",2020-03-21,3,17
"12",2020-03-22,0,17
"12",2020-03-23,2,19
"12",2020-03-24,1,20
"12",2020-03-25,0,20
"12",2020-03-26,0,20
"12",2020-03-27,1,21
"12",2020-03-28,1,22
"12",2020-03-29,0,22
"12",2020-03-30,2,24
